,FraudFound_P,AccidentArea_Urban,Sex_Male,Fault_Third Party,PoliceReportFiled_Yes,WitnessPresent_Yes,AgentType_Internal,MaritalStatus_Others,MaritalStatus_Single,Days_Policy_Accident_more than 30,Days_Policy_Claim_more than 30,AddressChange_Claim_no change,NumberOfCars_Others,PolicyType_Sport,PolicyType_Utility,VehicleCategory_Sport,VehicleCategory_Utility,Year_1995,Year_1996,BasePolicy_Collision,BasePolicy_Liability,VehiclePrice,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,NumberOfSuppliments,Month,WeekOfMonth,DayOfWeek,Make,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,RepNumber,Age_log
0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,5,0,0,0,2,3,0,0.08333873792074713,0.10616771515662494,0.14002205071664828,0.1815941371035735,0.21888579025877164,0.09378040080420261,0.22368506388222323,0.06336338283935404,3.091042453358316
1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,5,1,3,0,5,4,0,0.09151047409040794,0.23607237823464558,0.14002205071664828,0.1815941371035735,0.24366041896361632,0.09378040080420261,0.22264738309877424,0.06329852779038848,3.5553480614894135
2,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,5,1,2,1,6,6,0,0.08463583890005837,0.10616771515662494,0.158570594720799,0.1815941371035735,0.17251443024839483,0.08333873792074713,0.24126078215189053,0.06933004734418574,3.871201010907891
3,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,7,7,3,0.08567351968350737,0.23068940917050393,0.12854270704974383,0.2024126078215189,0.16194305726700825,0.07944743498281341,0.22368506388222323,0.059147804656592515,4.189654742026425
4,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,5,1,0,0,4,4,0,0.09151047409040794,0.10616771515662494,0.16959595304494454,0.1815941371035735,0.21888579025877164,0.08346844801867825,0.24126078215189053,0.06154744146831831,3.332204510175204
5,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,5,1,2,0,4,2,2,0.08463583890005837,0.22037745638497958,0.158570594720799,0.1815941371035735,0.19138724949737337,0.08333873792074713,0.22368506388222323,0.06336338283935404,3.044522437723423
6,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,5,1,0,1,6,5,1,0.08210649199040146,0.20669304105324598,0.12854270704974383,0.1815941371035735,0.24366041896361632,0.08346844801867825,0.23237564044360853,0.06102860107659381,3.6109179126442243
7,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,5,1,3,1,0,0,0,0.07789091380763992,0.20669304105324598,0.158570594720799,0.1815941371035735,0.21888579025877164,0.08742460600557754,0.22264738309877424,0.06401193332900966,3.713572066704308
8,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,5,1,3,0,5,4,2,0.08333873792074713,0.22037745638497958,0.12854270704974383,0.1815941371035735,0.19138724949737337,0.07432388611453401,0.08003113042350347,0.06933004734418574,3.4339872044851463
9,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,5,1,0,2,7,5,2,0.08301446267591932,0.23607237823464558,0.14916661262079253,0.029184772034502884,0.19138724949737337,0.08243076723522927,0.23237564044360853,0.06933004734418574,3.7612001156935624
10,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,1,2,0,7,8,0,0.08820286659316427,0.23068940917050393,0.11317206044490563,0.15266878526493288,0.19138724949737337,0.08742460600557754,0.23237564044360853,0.06933004734418574,4.276666119016055
11,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,2,7,6,0,0.08820286659316427,0.10616771515662494,0.16959595304494454,0.1815941371035735,0.24366041896361632,0.08742460600557754,0.08003113042350347,0.057850703677281276,3.970291913552122
12,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,5,1,0,1,6,4,0,0.09151047409040794,0.23607237823464558,0.158570594720799,0.029184772034502884,0.16194305726700825,0.09378040080420261,0.23237564044360853,0.061482586419352746,3.367295829986474
13,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,5,1,2,0,0,0,0,0.09151047409040794,0.10616771515662494,0.158570594720799,0.1815941371035735,0.19138724949737337,0.08346844801867825,0.22368506388222323,0.06336338283935404,3.713572066704308
14,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,5,1,0,0,7,7,0,0.09151047409040794,0.10616771515662494,0.16959595304494454,0.029184772034502884,0.17251443024839483,0.08346844801867825,0.22368506388222323,0.06154744146831831,4.127134385045092
15,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,5,1,0,0,5,5,0,0.07309164018418834,0.22037745638497958,0.14916661262079253,0.029184772034502884,0.24366041896361632,0.07302678513522277,0.08003113042350347,0.06271483234969842,3.6635616461296463
16,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,1,3,0,6,5,0,0.08301446267591932,0.22037745638497958,0.14093002140216615,0.029184772034502884,0.19138724949737337,0.09151047409040794,0.22368506388222323,0.06329852779038848,3.7376696182833684
17,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,6,4,1,0.08145794150074584,0.10616771515662494,0.11317206044490563,0.10902133731110968,0.19138724949737337,0.07302678513522277,0.22368506388222323,0.06109345612555937,3.367295829986474
18,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,6,4,0,0.08865685193592321,0.22037745638497958,0.14093002140216615,0.24884882288086127,0.24366041896361632,0.09151047409040794,0.08003113042350347,0.06109345612555937,3.4965075614664802
19,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,5,1,1,2,5,4,3,0.08301446267591932,0.22037745638497958,0.16959595304494454,0.1815941371035735,0.21888579025877164,0.09151047409040794,0.22368506388222323,0.062001426811077245,3.4339872044851463
20,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,7,5,3,0.08301446267591932,0.23068940917050393,0.158570594720799,0.15266878526493288,0.21888579025877164,0.09151047409040794,0.22368506388222323,0.06154744146831831,3.713572066704308
